#Block Type;96well;;;;;;;;;;;;;;;;;;;;;;;;
#Chemistry;SYBR_GREEN;;;;;;;;;;;;;;;;;;;;;;;;
#Experiment Run End Time;2017-02-17 10:44:18 AM CET;;;;;;;;;;;;;;;;;;;;;;;;
#Instrument Type;steponeplus;;;;;;;;;;;;;;;;;;;;;;;;
#Passive Reference;ROX;;;;;;;;;;;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;;;;;;;;;;;;
Well;Sample Name;Target Name;Task;Reporter;Quencher;RQ;RQ Min;RQ Max;Ct;Ct Mean;C? SD;?C?;?C? Mean;?C? SE;HK Control ?C? Mean;HK Control ?C? SE;??C?;Automatic Ct Threshold;Ct Threshold;Automatic Baseline;Baseline Start;Baseline End;Efficiency;Comments;NOISE
A1;0h -;CDH1;UNKNOWN;SYBR;None;1;0.948106408;1.054733872;26.28577232;26.29983139;0.019882523;;10.99055099;0.017867833;;;0;WAHR;0.691522842;WAHR;3;18;1;;N
A2;0.5h -;CDH1;UNKNOWN;SYBR;None;1.631725073;;;25.28916931;25.28916931;;;10.28415298;;;;-0.70639801;WAHR;0.691522842;WAHR;3;17;1;;N
A3;1h -;CDH1;UNKNOWN;SYBR;None;1.579310775;;;25.00559807;25.00559807;;;10.33125591;;;;-0.659295082;WAHR;0.691522842;WAHR;3;17;1;;N
A4;2h -;CDH1;UNKNOWN;SYBR;None;2.949316978;;;24.63021851;24.63021851;;;9.430170059;;;;-1.560380936;WAHR;0.691522842;WAHR;3;16;1;;N
A5;3h -;CDH1;UNKNOWN;SYBR;None;2.698210716;;;24.61909866;24.61909866;;;9.558547974;;;;-1.432003021;WAHR;0.691522842;WAHR;3;16;1;;N
A6;4h -;CDH1;UNKNOWN;SYBR;None;2.867721796;;;24.7629528;24.7629528;;;9.470645905;;;;-1.51990509;WAHR;0.691522842;WAHR;3;16;1;;N
A7;5h -;CDH1;UNKNOWN;SYBR;None;2.172469854;;;24.83242226;24.83242226;;;9.871214867;;;;-1.119336128;WAHR;0.691522842;WAHR;3;17;1;;N
A8;6h -;CDH1;UNKNOWN;SYBR;None;2.408950806;;;25.2574234;25.2574234;;;9.722146034;;;;-1.268404961;WAHR;0.691522842;WAHR;3;17;1;;N
A9;7h -;CDH1;UNKNOWN;SYBR;None;3.18639183;;;25.17175102;25.17175102;;;9.318627357;;;;-1.671923637;WAHR;0.691522842;WAHR;3;17;1;;N
A10;8h -;CDH1;UNKNOWN;SYBR;None;1.72728312;;;25.77874184;25.77874184;;;10.20204639;;;;-0.788504601;WAHR;0.691522842;WAHR;3;18;1;;N
A11;9h -;CDH1;UNKNOWN;SYBR;None;2.906036854;;;25.21379662;25.21379662;;;9.451498032;;;;-1.539052963;WAHR;0.691522842;WAHR;3;16;1;;N
A12;10h -;CDH1;UNKNOWN;SYBR;None;2.787082911;;;24.88982773;24.88982773;;;9.511795044;;;;-1.478755951;WAHR;0.691522842;WAHR;3;15;1;;N
B1;0h -;VCL;UNKNOWN;SYBR;None;1;0.780508578;1.281215906;21.94568825;21.86333084;0.116469614;;6.554051399;0.083091438;;;0;WAHR;0.512011761;WAHR;3;14;1;;N
B2;0.5h -;VCL;UNKNOWN;SYBR;None;1.678910375;;;20.81154251;20.81154251;;;5.806526184;;;;-0.747525215;WAHR;0.512011761;WAHR;3;14;1;;N
B3;1h -;VCL;UNKNOWN;SYBR;None;1.203427315;;;20.96124458;20.96124458;;;6.286902428;;;;-0.267148972;WAHR;0.512011761;WAHR;3;14;1;;N
B4;2h -;VCL;UNKNOWN;SYBR;None;1.941918015;;;20.79661751;20.79661751;;;5.596569061;;;;-0.957482338;WAHR;0.512011761;WAHR;3;15;1;;N
B5;3h -;VCL;UNKNOWN;SYBR;None;1.820736289;;;20.75008011;20.75008011;;;5.689529419;;;;-0.86452198;WAHR;0.512011761;WAHR;3;14;1;;N
B6;4h -;VCL;UNKNOWN;SYBR;None;2.676239014;;;20.42615128;20.42615128;;;5.133844376;;;;-1.420207024;WAHR;0.512011761;WAHR;3;14;1;;N
B7;5h -;VCL;UNKNOWN;SYBR;None;1.864078045;;;20.61679649;20.61679649;;;5.655589104;;;;-0.898462296;WAHR;0.512011761;WAHR;3;13;1;;N
B8;6h -;VCL;UNKNOWN;SYBR;None;1.786789775;;;21.25195885;21.25195885;;;5.71668148;;;;-0.837369919;WAHR;0.512011761;WAHR;3;14;1;;N
B9;7h -;VCL;UNKNOWN;SYBR;None;2.54207468;;;21.06116867;21.06116867;;;5.208045006;;;;-1.346006393;WAHR;0.512011761;WAHR;3;14;1;;N
B10;8h -;VCL;UNKNOWN;SYBR;None;1.003140926;;;22.12622261;22.12622261;;;6.549527168;;;;-0.004524231;WAHR;0.512011761;WAHR;3;16;1;;N
B11;9h -;VCL;UNKNOWN;SYBR;None;2.032940626;;;21.29278183;21.29278183;;;5.530483246;;;;-1.023568153;WAHR;0.512011761;WAHR;3;14;1;;N
B12;10h -;VCL;UNKNOWN;SYBR;None;1.2986058;;;21.55512047;21.55512047;;;6.177087784;;;;-0.376963615;WAHR;0.512011761;WAHR;3;15;1;;N
C1;0h -;ZNF281;UNKNOWN;SYBR;None;1;0.795075119;1.257742763;20.87105179;20.79495621;0.107616752;;5.485674858;0.076891385;;;0;WAHR;0.381227261;WAHR;3;15;1;;N
C2;0.5h -;ZNF281;UNKNOWN;SYBR;None;0.426198959;;;21.72109222;21.72109222;;;6.716075897;;;;1.230401039;WAHR;0.381227261;WAHR;3;15;1;;N
C3;1h -;ZNF281;UNKNOWN;SYBR;None;0.285543799;;;21.96823311;21.96823311;;;7.293890953;;;;1.808216095;WAHR;0.381227261;WAHR;3;15;1;;N
C4;2h -;ZNF281;UNKNOWN;SYBR;None;0.830875993;;;20.95301819;20.95301819;;;5.752969742;;;;0.267294884;WAHR;0.381227261;WAHR;3;15;1;;N
C5;3h -;ZNF281;UNKNOWN;SYBR;None;0.844874084;;;20.78941727;20.78941727;;;5.728866577;;;;0.243191719;WAHR;0.381227261;WAHR;3;14;1;;N
C6;4h -;ZNF281;UNKNOWN;SYBR;None;0.817499936;;;21.06869125;21.06869125;;;5.776384354;;;;0.290709496;WAHR;0.381227261;WAHR;3;14;1;;N
C7;5h -;ZNF281;UNKNOWN;SYBR;None;0.717998505;;;20.92482948;20.92482948;;;5.963622093;;;;0.477947235;WAHR;0.381227261;WAHR;3;16;1;;N
C8;6h -;ZNF281;UNKNOWN;SYBR;None;1.066346407;;;20.92827606;20.92827606;;;5.392998695;;;;-0.092676163;WAHR;0.381227261;WAHR;3;14;1;;N
C9;7h -;ZNF281;UNKNOWN;SYBR;None;1.157841086;;;21.1273613;21.1273613;;;5.274237633;;;;-0.211437225;WAHR;0.381227261;WAHR;3;15;1;;N
C10;8h -;ZNF281;UNKNOWN;SYBR;None;1.057666659;;;20.98148537;20.98148537;;;5.404789925;;;;-0.080884933;WAHR;0.381227261;WAHR;3;16;1;;N
C11;9h -;ZNF281;UNKNOWN;SYBR;None;1.174320221;;;21.01614761;21.01614761;;;5.25384903;;;;-0.231825829;WAHR;0.381227261;WAHR;3;15;1;;N
C12;10h -;ZNF281;UNKNOWN;SYBR;None;0.897804856;;;21.0192337;21.0192337;;;5.641201019;;;;0.155526161;WAHR;0.381227261;WAHR;3;15;1;;N
D1;0h -;RPL3;UNKNOWN;SYBR;None;;;;15.29825306;15.3092804;0.015595009;;;;;;;WAHR;0.890066743;WAHR;3;6;1;;N
D2;0.5h -;RPL3;UNKNOWN;SYBR;None;;;;15.00501633;15.00501633;;;;;;;;WAHR;0.890066743;WAHR;3;7;1;;N
D3;1h -;RPL3;UNKNOWN;SYBR;None;;;;14.67434216;14.67434216;;;;;;;;WAHR;0.890066743;WAHR;3;7;1;;N
D4;2h -;RPL3;UNKNOWN;SYBR;None;;;;15.20004845;15.20004845;;;;;;;;WAHR;0.890066743;WAHR;3;7;1;;N
D5;3h -;RPL3;UNKNOWN;SYBR;None;;;;15.06055069;15.06055069;;;;;;;;WAHR;0.890066743;WAHR;3;7;1;;N
D6;4h -;RPL3;UNKNOWN;SYBR;None;;;;15.2923069;15.2923069;;;;;;;;WAHR;0.890066743;WAHR;3;7;1;;N
D7;5h -;RPL3;UNKNOWN;SYBR;None;;;;14.96120739;14.96120739;;;;;;;;WAHR;0.890066743;WAHR;3;7;1;;N
D8;6h -;RPL3;UNKNOWN;SYBR;None;;;;15.53527737;15.53527737;;;;;;;;WAHR;0.890066743;WAHR;3;8;1;;N
D9;7h -;RPL3;UNKNOWN;SYBR;None;;;;15.85312366;15.85312366;;;;;;;;WAHR;0.890066743;WAHR;3;9;1;;N
D10;8h -;RPL3;UNKNOWN;SYBR;None;;;;15.57669544;15.57669544;;;;;;;;WAHR;0.890066743;WAHR;3;8;1;;N
D11;9h -;RPL3;UNKNOWN;SYBR;None;;;;15.76229858;15.76229858;;;;;;;;WAHR;0.890066743;WAHR;3;9;1;;N
D12;10h -;RPL3;UNKNOWN;SYBR;None;;;;15.37803268;15.37803268;;;;;;;;WAHR;0.890066743;WAHR;3;8;1;;N
E1;0h +;RPL3;UNKNOWN;SYBR;None;;;;15.32030773;15.3092804;0.015595009;;;;;;;WAHR;0.890066743;WAHR;3;8;1;;N
E2;0.5h +;RPL3;UNKNOWN;SYBR;None;;;;14.86088181;14.86088181;;;;;;;;WAHR;0.890066743;WAHR;3;8;1;;N
E3;1h +;RPL3;UNKNOWN;SYBR;None;;;;15.10373592;15.10373592;;;;;;;;WAHR;0.890066743;WAHR;3;8;1;;N
E4;2h +;RPL3;UNKNOWN;SYBR;None;;;;15.94351959;15.94351959;;;;;;;;WAHR;0.890066743;WAHR;3;8;1;;N
E5;3h +;RPL3;UNKNOWN;SYBR;None;;;;15.51410866;15.51410866;;;;;;;;WAHR;0.890066743;WAHR;3;9;1;;N
E6;4h +;RPL3;UNKNOWN;SYBR;None;;;;15.08554268;15.08554268;;;;;;;;WAHR;0.890066743;WAHR;3;7;1;;N
E7;5h +;RPL3;UNKNOWN;SYBR;None;;;;15.9234333;15.9234333;;;;;;;;WAHR;0.890066743;WAHR;3;9;1;;Y
E8;6h +;RPL3;UNKNOWN;SYBR;None;;;;15.18228149;15.18228149;;;;;;;;WAHR;0.890066743;WAHR;3;8;1;;N
E9;7h +;RPL3;UNKNOWN;SYBR;None;;;;14.96500778;14.96500778;;;;;;;;WAHR;0.890066743;WAHR;3;8;1;;N
E10;8h +;RPL3;UNKNOWN;SYBR;None;;;;15.14713478;15.14713478;;;;;;;;WAHR;0.890066743;WAHR;3;9;1;;N
E11;9h +;RPL3;UNKNOWN;SYBR;None;;;;15.48622227;15.48622227;;;;;;;;WAHR;0.890066743;WAHR;3;8;1;;N
E12;10h +;RPL3;UNKNOWN;SYBR;None;;;;16.03524208;16.03524208;;;;;;;;WAHR;0.890066743;WAHR;3;9;1;;N
F1;0h +;ZNF281;UNKNOWN;SYBR;None;1;0.795075119;1.257742763;20.71885872;20.79495621;0.107616752;;5.485674858;0.076891385;;;0;WAHR;0.381227261;WAHR;3;14;1;;N
F2;0.5h +;ZNF281;UNKNOWN;SYBR;None;0.6838305;;;20.89484596;20.89484596;;;6.033964157;;;;0.548289299;WAHR;0.381227261;WAHR;3;15;1;;N
F3;1h +;ZNF281;UNKNOWN;SYBR;None;0.75197798;;;21.0006485;21.0006485;;;5.896912575;;;;0.411237717;WAHR;0.381227261;WAHR;3;15;1;;N
F4;2h +;ZNF281;UNKNOWN;SYBR;None;0.809242487;;;21.73455048;21.73455048;;;5.791030884;;;;0.305356026;WAHR;0.381227261;WAHR;3;16;1;;N
F5;3h +;ZNF281;UNKNOWN;SYBR;None;1.205609798;;;20.73002052;20.73002052;;;5.215911865;;;;-0.269762993;WAHR;0.381227261;WAHR;3;15;1;;N
F6;4h +;ZNF281;UNKNOWN;SYBR;None;0.805923045;;;20.88250351;20.88250351;;;5.796960831;;;;0.311285973;WAHR;0.381227261;WAHR;3;15;1;;N
F7;5h +;ZNF281;UNKNOWN;SYBR;None;1.511094093;;;20.81351471;20.81351471;;;4.890081406;;;;-0.595593452;WAHR;0.381227261;WAHR;3;15;1;;N
F8;6h +;ZNF281;UNKNOWN;SYBR;None;0.7014907;;;21.17946053;21.17946053;;;5.997179031;;;;0.511504173;WAHR;0.381227261;WAHR;3;15;1;;N
F9;7h +;ZNF281;UNKNOWN;SYBR;None;1.160643458;;;20.23575783;20.23575783;;;5.270750046;;;;-0.214924812;WAHR;0.381227261;WAHR;3;13;1;;N
F10;8h +;ZNF281;UNKNOWN;SYBR;None;0.949017227;;;20.70830345;20.70830345;;;5.561168671;;;;0.075493813;WAHR;0.381227261;WAHR;3;14;1;;N
F11;9h +;ZNF281;UNKNOWN;SYBR;None;0.862103224;;;21.18596458;21.18596458;;;5.699742317;;;;0.214067459;WAHR;0.381227261;WAHR;3;16;1;;N
F12;10h +;ZNF281;UNKNOWN;SYBR;None;0.873544812;;;21.71596336;21.71596336;;;5.680721283;;;;0.195046425;WAHR;0.381227261;WAHR;3;16;1;;N
G1;0h +;VCL;UNKNOWN;SYBR;None;1;0.780508578;1.281215906;21.78097534;21.86333084;0.116469614;;6.554051399;0.083091438;;;0;WAHR;0.512011761;WAHR;3;15;1;;N
G2;0.5h +;VCL;UNKNOWN;SYBR;None;1.106439471;;;21.26900864;21.26900864;;;6.408126831;;;;-0.145924568;WAHR;0.512011761;WAHR;3;14;1;;N
G3;1h +;VCL;UNKNOWN;SYBR;None;1.412912846;;;21.15911484;21.15911484;;;6.055378914;;;;-0.498672485;WAHR;0.512011761;WAHR;3;15;1;;N
G4;2h +;VCL;UNKNOWN;SYBR;None;0.79130137;;;22.83527184;22.83527184;;;6.891752243;;;;0.337700844;WAHR;0.512011761;WAHR;3;17;1;;N
G5;3h +;VCL;UNKNOWN;SYBR;None;1.93770957;;;21.11380768;21.11380768;;;5.59969902;;;;-0.954352379;WAHR;0.512011761;WAHR;3;15;1;;N
G6;4h +;VCL;UNKNOWN;SYBR;None;0.832427442;;;21.90419769;21.90419769;;;6.818655014;;;;0.264603615;WAHR;0.512011761;WAHR;3;15;1;;N
G7;5h +;VCL;UNKNOWN;SYBR;None;1.444797754;;;21.94661713;21.94661713;;;6.023183823;;;;-0.530867577;WAHR;0.512011761;WAHR;3;15;1;;N
G8;6h +;VCL;UNKNOWN;SYBR;None;0.884117782;;;21.91402245;21.91402245;;;6.731740952;;;;0.177689552;WAHR;0.512011761;WAHR;3;16;1;;N
G9;7h +;VCL;UNKNOWN;SYBR;None;1.207707524;;;21.24678802;21.24678802;;;6.281780243;;;;-0.272271156;WAHR;0.512011761;WAHR;3;14;1;;N
G10;8h +;VCL;UNKNOWN;SYBR;None;1.328888535;;;21.29096603;21.29096603;;;6.143831253;;;;-0.410220146;WAHR;0.512011761;WAHR;3;15;1;;N
G11;9h +;VCL;UNKNOWN;SYBR;None;1.373761773;;;21.58214188;21.58214188;;;6.095919609;;;;-0.45813179;WAHR;0.512011761;WAHR;3;15;1;;N
G12;10h +;VCL;UNKNOWN;SYBR;None;1.037800193;;;22.53576469;22.53576469;;;6.500522614;;;;-0.053528786;WAHR;0.512011761;WAHR;3;16;1;;N
H1;0h +;CDH1;UNKNOWN;SYBR;None;1;0.948106408;1.054733872;26.31389046;26.29983139;0.019882523;;10.99055099;0.017867833;;;0;WAHR;0.691522842;WAHR;3;18;1;;N
H2;0.5h +;CDH1;UNKNOWN;SYBR;None;1.096513152;;;25.71850967;25.71850967;;;10.85762787;;;;-0.132923126;WAHR;0.691522842;WAHR;3;18;1;;N
H3;1h +;CDH1;UNKNOWN;SYBR;None;1.210711479;;;25.81843185;25.81843185;;;10.71469593;;;;-0.275855064;WAHR;0.691522842;WAHR;3;19;1;;N
H4;2h +;CDH1;UNKNOWN;SYBR;None;1.779957056;;;26.10222816;26.10222816;;;10.15870857;;;;-0.831842422;WAHR;0.691522842;WAHR;3;19;1;;N
H5;3h +;CDH1;UNKNOWN;SYBR;None;2.829915762;;;25.00390053;25.00390053;;;9.48979187;;;;-1.500759125;WAHR;0.691522842;WAHR;3;18;1;;N
H6;4h +;CDH1;UNKNOWN;SYBR;None;1.489201665;;;25.50155449;25.50155449;;;10.41601181;;;;-0.574539185;WAHR;0.691522842;WAHR;3;18;1;;N
H7;5h +;CDH1;UNKNOWN;SYBR;None;2.719408035;;;25.47069168;25.47069168;;;9.547258377;;;;-1.443292618;WAHR;0.691522842;WAHR;3;18;1;;N
H8;6h +;CDH1;UNKNOWN;SYBR;None;1.770545602;;;25.34863853;25.34863853;;;10.16635704;;;;-0.824193954;WAHR;0.691522842;WAHR;3;18;1;;N
H9;7h +;CDH1;UNKNOWN;SYBR;None;2.086474895;;;24.8944912;24.8944912;;;9.929483414;;;;-1.061067581;WAHR;0.691522842;WAHR;3;17;1;;N
H10;8h +;CDH1;UNKNOWN;SYBR;None;2.678538084;;;24.71623993;24.71623993;;;9.569105148;;;;-1.421445847;WAHR;0.691522842;WAHR;3;17;1;;N
H11;9h +;CDH1;UNKNOWN;SYBR;None;4.106142521;;;24.43898964;24.43898964;;;8.952767372;;;;-2.037783623;WAHR;0.691522842;WAHR;3;17;1;;N
H12;10h +;CDH1;UNKNOWN;SYBR;None;3.780780315;;;25.10710907;25.10710907;;;9.071866989;;;;-1.918684006;WAHR;0.691522842;WAHR;3;17;1;;N
#;;;;;;;;;;;;;;;;;;;;;;;;;
#Analysis Type;Singleplex;;;;;;;;;;;;;;;;;;;;;;;;
#Endogenous Control;RPL3;;;;;;;;;;;;;;;;;;;;;;;;
#RQ Min/Max Confidence Level;95.0;;;;;;;;;;;;;;;;;;;;;;;;
#Reference Sample;0h;;;;;;;;;;;;;;;;;;;;;;;;
