"Well","Duration","Treatment","Target","Ct","dCt","ddCt","RQ"
"A1","0h","-","CDH1",26.28577232,10.98751926,0,1
"A2","0.5h","-","CDH1",25.28916931,10.28415298,-0.703366280000001,1.62829972008695
"A3","1h","-","CDH1",25.00559807,10.33125591,-0.656263349999998,1.57599542853753
"A4","2h","-","CDH1",24.63021851,9.43017006,-1.5573492,2.9431257802567
"A5","3h","-","CDH1",24.61909866,9.55854797,-1.42897129,2.69254655565586
"A6","4h","-","CDH1",24.7629528,9.4706459,-1.51687336,2.86170182837893
"A7","5h","-","CDH1",24.83242226,9.87121487,-1.11630439,2.16790928626909
"A8","6h","-","CDH1",25.2574234,9.72214603,-1.26537323,2.4038939139592
"A9","7h","-","CDH1",25.17175102,9.31862736,-1.6688919,3.17970274225443
"A10","8h","-","CDH1",25.77874184,10.2020464,-0.78547286,1.72365717544189
"A11","9h","-","CDH1",25.21379662,9.45149804,-1.53602122,2.89993631939856
"A12","10h","-","CDH1",24.88982773,9.51179505,-1.47572421,2.78123222373398
"E5","24h","-","CDH1",28.77247238,11.62827682,0.640757560000001,0.64137607339554
"E4","48h","-","CDH1",28.6349659,12.28368759,1.29616833,0.407206266968299
"A1","0h","-","IL1B",20.53862572,5.24037266,0,1
"A2","0.5h","-","IL1B",19.74674225,4.74172592,-0.498646739999998,1.41288764019812
"A3","1h","-","IL1B",19.21120453,4.53686237,-0.703510289999999,1.62846226528182
"A4","2h","-","IL1B",18.95199585,3.7519474,-1.48842526,2.80582544631028
"A5","3h","-","IL1B",18.14953041,3.08897972,-2.15139294,4.44256517013558
"A6","4h","-","IL1B",18.72886086,3.43655396,-1.8038187,3.49143157719452
"A7","5h","-","IL1B",18.2722435,3.31103611,-1.92933655,3.80880004222276
"A8","6h","-","IL1B",19.28487206,3.74959469,-1.49077797,2.81040484731717
"A9","7h","-","IL1B",20.09405518,4.24093152,-0.999441139999997,1.99922540557121
"A10","8h","-","IL1B",20.01951027,4.44281483,-0.797557829999997,1.7381563129375
"A11","9h","-","IL1B",20.38913345,4.62683487,-0.613537789999999,1.53000650848258
"A12","10h","-","IL1B",20.68646431,5.30843163,0.0680589700000027,0.953920558353497
"H5","24h","-","IL1B",20.58172035,3.43752479,-1.80284787,3.48908288519527
"H4","48h","-","IL1B",19.46988678,3.11860847,-2.12176419,4.35225832740668
"B1","0h","-","IL6",28.37376785,13.07016659,0,1
"B2","0.5h","-","IL6",26.92247391,11.95871544,-1.11145115,2.16062867146429
"B3","1h","-","IL6",24.78747177,10.16229248,-2.90787411,7.50511464488657
"B4","2h","-","IL6",24.13459396,8.96461391,-4.10555268,17.2145036641347
"B5","3h","-","IL6",23.77658081,8.77199364,-4.29817295,19.673380175691
"B6","4h","-","IL6",24.84936142,9.61989117,-3.45027542,10.9304085419594
"B7","5h","-","IL6",26.14241028,11.19273472,-1.87743187,3.67420435573429
"B8","6h","-","IL6",27.47025681,11.91772938,-1.15243721,2.22289100431789
"B9","7h","-","IL6",28.09983063,12.22193718,-0.84822941,1.80029010976962
"B10","8h","-","IL6",27.92840004,12.35183334,-0.718333250000001,1.64528013892946
"B11","9h","-","IL6",27.95684814,12.24019622,-0.829970369999998,1.77764885269326
"B12","10h","-","IL6",27.95247459,12.50589656,-0.564270029999998,1.47863916305552
"G5","24h","-","IL6",28.47811699,11.33392143,-1.73624516,3.33166919250606
"G4","48h","-","IL6",27.66679192,11.31551361,-1.75465298,3.37445141006984
"B1","0h","-","VCL",21.94568825,6.64208699,0,1
"B2","0.5h","-","VCL",20.81154251,5.84778404,-0.794302950000001,1.73423925985713
"B3","1h","-","VCL",20.96124458,6.33606529,-0.306021700000001,1.23629385624024
"B4","2h","-","VCL",20.79661751,5.62663746,-1.01544953,2.02153268513307
"B5","3h","-","VCL",20.75008011,5.74549294,-0.896594050000001,1.86166572468455
"B6","4h","-","VCL",20.42615128,5.19668103,-1.44540596,2.72339446123697
"B7","5h","-","VCL",20.61679649,5.66712093,-0.97496606,1.96559495510893
"B8","6h","-","VCL",21.25195885,5.69943142,-0.942655569999998,1.92206292738032
"B9","7h","-","VCL",21.06116867,5.18327522,-1.45881177,2.74881872636099
"B10","8h","-","VCL",22.12622261,6.54965591,-0.0924310800000008,1.06616526066901
"B11","9h","-","VCL",21.29278183,5.57612991,-1.06595708,2.09355827992139
"B12","10h","-","VCL",21.55512047,6.10854244,-0.53354455,1.44748113930009
"D5","24h","-","VCL",24.77710915,7.63291359,0.990826600000002,0.503189387312991
"D4","48h","-","VCL",23.90096855,7.54969024,0.907603250000001,0.533069945388314
"C1","0h","-","VEGF",25.04818726,9.7499342,0,1
"C2","0.5h","-","VEGF",24.3914814,9.38646507,-0.363469129999999,1.28651575964487
"C3","1h","-","VEGF",24.99429703,10.31995487,0.57002067,0.673607137356992
"C4","2h","-","VEGF",24.79299736,9.59294891,-0.156985289999998,1.11495485037264
"C5","3h","-","VEGF",24.41219902,9.35164833,-0.398285869999999,1.31794107586618
"C6","4h","-","VEGF",24.08584023,8.79353333,-0.95640087,1.94046292651708
"C7","5h","-","VEGF",23.58288574,8.62167835,-1.12825585,2.18594310270927
"C8","6h","-","VEGF",24.30571365,8.77043628,-0.979497919999996,1.97177908020723
"C9","7h","-","VEGF",24.38827324,8.53514958,-1.21478462,2.32106129156833
"C10","8h","-","VEGF",24.59078217,9.01408673,-0.735847469999998,1.66537545940113
"C11","9h","-","VEGF",24.16642189,8.40412331,-1.34581089,2.54173018407887
"C12","10h","-","VEGF",23.88456535,8.50653267,-1.24340153,2.36756088991256
"F5","24h","-","VEGF",26.27151871,9.12732315,-0.62261105,1.53965920101448
"F4","48h","-","VEGF",24.92446518,8.57318687,-1.17674733,2.26066517233396
"C1","0h","-","ZNF281",20.87105179,5.57279873,0,1
"C2","0.5h","-","ZNF281",21.72109222,6.71607589,1.14327716,0.452730007982077
"C3","1h","-","ZNF281",21.96823311,7.29389095,1.72109222,0.303319000675307
"C4","2h","-","ZNF281",20.95301819,5.75296974,0.180171010000002,0.882598371204289
"C5","3h","-","ZNF281",20.78941727,5.72886658,0.156067850000003,0.897467841729638
"C6","4h","-","ZNF281",21.06869125,5.77638435,0.203585620000002,0.868389616145159
"C7","5h","-","ZNF281",20.92482948,5.96362209,0.390823360000001,0.762694203296846
"C8","6h","-","ZNF281",20.92827606,5.39299869,-0.179800039999996,1.1327268765329
"C9","7h","-","ZNF281",21.1273613,5.27423764,-0.298561089999998,1.22991711109315
"C10","8h","-","ZNF281",20.98148537,5.40478993,-0.168008799999997,1.1235067560595
"C11","9h","-","ZNF281",21.01614761,5.25384903,-0.318949699999997,1.24742207940686
"C12","10h","-","ZNF281",21.0192337,5.64120102,0.0684022900000016,0.953693579655918
"C5","24h","-","ZNF281",23.14882851,6.00463295,0.431834220000002,0.741318684892609
"C4","48h","-","ZNF281",22.44811821,6.0968399,0.52404117,0.695421140429553
"H1","0h","+","CDH1",26.31389046,11.05030346,0,1
"H2","0.5h","+","CDH1",25.71850967,10.88269233,-0.167611130000001,1.12319711102162
"H3","1h","+","CDH1",25.81843185,10.73122787,-0.319075590000001,1.24753093457924
"H4","2h","+","CDH1",26.10222816,10.12238788,-0.927915580000001,1.90252522222028
"H5","3h","+","CDH1",25.00390053,9.41666317,-1.63364029,3.102949656084
"H6","4h","+","CDH1",25.50155449,10.40061283,-0.64969063,1.5688317410996
"H7","5h","+","CDH1",25.47069168,9.49039936,-1.5599041,2.94834244344756
"H8","6h","+","CDH1",25.34863853,10.15776157,-0.892541890000002,1.85644412009845
"H9","7h","+","CDH1",24.8944912,9.93811322,-1.11219024,2.16173584111109
"H10","8h","+","CDH1",24.71623993,9.64616871,-1.40413475,2.64659006397278
"H11","9h","+","CDH1",24.43898964,8.87440777,-2.17589569,4.51866213733524
"H12","10h","+","CDH1",25.10710907,9.19365692,-1.85664654,3.62164852019591
"E8","24h","+","CDH1",26.98844337,11.0251646,-0.025138860000002,1.01757762966103
"E9","48h","+","CDH1",28.13859749,11.74224472,0.691941259999998,0.619020348607217
"H1","0h","+","IL1B",20.38625336,5.12266636,0,1
"H2","0.5h","+","IL1B",20.30021286,5.46439552,0.341729159999996,0.789094965310309
"H3","1h","+","IL1B",20.0603199,4.97311592,-0.149550440000002,1.10922377160646
"H4","2h","+","IL1B",19.57133484,3.59149456,-1.5311718,2.89020494872261
"H5","3h","+","IL1B",18.9138813,3.32664394,-1.79602242,3.47261487566943
"H6","4h","+","IL1B",18.50008011,3.39913845,-1.72352791,3.30242983589156
"H7","5h","+","IL1B",18.28973579,2.30944347,-2.81322289,7.02852953874266
"H8","6h","+","IL1B",18.51349449,3.32261753,-1.80004883,3.48232011510874
"H9","7h","+","IL1B",18.12315559,3.16677761,-1.95588875,3.87954846767041
"H10","8h","+","IL1B",18.23762321,3.16755199,-1.95511437,3.87746664266698
"H11","9h","+","IL1B",18.43439484,2.86981297,-2.25285339,4.76624591677339
"H12","10h","+","IL1B",19.4835186,3.57006645,-1.55259991,2.93345306663527
"H8","24h","+","IL1B",18.93227196,2.96899319,-2.15367317,4.44959235174726
"H9","48h","+","IL1B",19.21434975,2.81799698,-2.30466938,4.94054220300313
"G1","0h","+","IL6",28.40976524,13.08945751,0,1
"G2","0.5h","+","IL6",27.94702911,13.0861473,-0.00331021000000042,1.00229709702255
"G3","1h","+","IL6",26.43118286,11.32744694,-1.76201057,3.39170470798893
"G4","2h","+","IL6",25.51153183,9.56801224,-3.52144527,11.4831398592284
"G5","3h","+","IL6",24.75336456,9.2392559,-3.85020161,14.422022672329
"G6","4h","+","IL6",25.14408684,10.05854416,-3.03091335,8.17326975055694
"G7","5h","+","IL6",28.34976959,12.42633629,-0.663121219999997,1.5835047774519
"G8","6h","+","IL6",28.50330353,13.32102204,0.231564530000002,0.851710753417381
"G9","7h","+","IL6",27.08730125,12.12229347,-0.96716404,1.95499381053383
"G10","8h","+","IL6",27.73446083,12.58732605,-0.502131459999999,1.4163044875979
"G11","9h","+","IL6",27.52649117,12.0402689,-1.04918861,2.0693656828209
"G12","10h","+","IL6",28.28503418,12.2497921,-0.839665409999999,1.78963504135787
"G8","24h","+","IL6",27.93033218,11.96705341,-1.1224041,2.17709460383326
"G9","48h","+","IL6",27.52350426,11.12715149,-1.96230602,3.89684357289192
"G1","0h","+","VCL",21.78097534,6.46066761,0,1
"G2","0.5h","+","VCL",21.26900864,6.40812683,-0.0525407800000028,1.0370897710376
"G3","1h","+","VCL",21.15911484,6.05537892,-0.405288690000001,1.3243538932673
"G4","2h","+","VCL",22.83527184,6.89175225,0.43108464,0.74170395137346
"G5","3h","+","VCL",21.11380768,5.59969902,-0.860968590000001,1.81625729190752
"G6","4h","+","VCL",21.90419769,6.81865501,0.357987399999999,0.780252294597891
"G7","5h","+","VCL",21.94661713,6.02318383,-0.437483780000001,1.35424032133421
"G8","6h","+","VCL",21.91402245,6.73174096,0.27107335,0.828702770224177
"G9","7h","+","VCL",21.24678802,6.28178024,-0.178887370000002,1.13201052354235
"G10","8h","+","VCL",21.29096603,6.14383125,-0.316836360000002,1.24559612381744
"G11","9h","+","VCL",21.58214188,6.09591961,-0.364748000000001,1.28765669089262
"G12","10h","+","VCL",22.53576469,6.50052261,0.0398549999999993,0.972752710315096
"D8","24h","+","VCL",22.77675056,6.81347179,0.352804179999998,0.78306057548501
"D9","48h","+","VCL",23.10027885,6.70392608,0.243258469999997,0.844835012111782
"F1","0h","+","VEGF",24.93596458,9.67237758,0,1
"F2","0.5h","+","VEGF",24.77749825,9.94168091,0.26930333,0.82972011665805
"F3","1h","+","VEGF",25.32493019,10.23772621,0.565348629999999,0.675792090337129
"F4","2h","+","VEGF",26.3333683,10.35352802,0.68115044,0.623667748325753
"F5","3h","+","VEGF",25.08419609,9.49695873,-0.175418850000002,1.12929221863833
"F6","4h","+","VEGF",24.80197906,9.7010374,0.0286598199999997,0.980330544943727
"F7","5h","+","VEGF",24.52839661,8.54810429,-1.12427329,2.17991712743939
"F8","6h","+","VEGF",24.5175705,9.32669354,-0.34568404,1.27075335522372
"F9","7h","+","VEGF",23.98698807,9.03061009,-0.641767490000001,1.56023948619175
"F10","8h","+","VEGF",24.07689857,9.00682735,-0.665550230000001,1.58617310902791
"F11","9h","+","VEGF",24.13933754,8.57475567,-1.09762191,2.14001648491912
"F12","10h","+","VEGF",24.68424034,8.77078819,-0.901589390000002,1.86812292571958
"F8","24h","+","VEGF",24.53378105,8.57050228,-1.1018753,2.14633504532612
"F9","48h","+","VEGF",24.48538399,8.08903122,-1.58334636,2.99664121149519
"F1","0h","+","ZNF281",20.71885872,5.45527172,0,1
"F2","0.5h","+","ZNF281",20.89484596,6.05902862,0.6037569,0.658038135283308
"F3","1h","+","ZNF281",21.0006485,5.91344452,0.4581728,0.727907583540942
"F4","2h","+","ZNF281",21.73455048,5.7547102,0.299438479999999,0.812568599520532
"F5","3h","+","ZNF281",20.73002052,5.14278316,-0.31248856,1.24184796467217
"F6","4h","+","ZNF281",20.88250351,5.78156185,0.326290129999999,0.797584827144663
"F7","5h","+","ZNF281",20.81351471,4.83322239,-0.622049330000001,1.53905984425812
"F8","6h","+","ZNF281",21.17946053,5.98858357,0.533311849999999,0.690966729170183
"F9","7h","+","ZNF281",20.23575783,5.27937985,-0.175891869999999,1.12966254318426
"F10","8h","+","ZNF281",20.70830345,5.63823223,0.182960509999997,0.88089348595012
"F11","9h","+","ZNF281",21.18596458,5.62138271,0.16611099,0.891241927873997
"F12","10h","+","ZNF281",21.71596336,5.80251121,0.34723949,0.786086789472419
"C8","24h","+","ZNF281",21.94200325,5.97872448,0.523452759999998,0.695704829080715
"C9","48h","+","ZNF281",22.17842102,5.78206825,0.326796529999998,0.797304916236653
